CampsiteID,FacilityID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,CreatedDate,LastUpdatedDate
19691,232095,59,WALK TO,Overnight,WALK,FALSE,-79.38101,38.83209,5/2/2014,8/19/2020
84003,232096,18,TENT ONLY NONELECTRIC,Overnight,Loop 2,FALSE,-121.598269,48.737657,5/2/2014,5/14/2020
59064,232097,XXX2,MANAGEMENT,Overnight,MANAGEMENT SITES,FALSE,0,0,5/2/2014,1/23/2019
20037,232098,10,STANDARD NONELECTRIC,Overnight,SHOR,TRUE,-115.663419,44.653398,5/2/2014,8/19/2020
78067,232099,15,STANDARD NONELECTRIC,Overnight,SILV,FALSE,-121.700199,48.905921,5/2/2014,3/23/2020
86514,232100,1,GROUP STANDARD NONELECTRIC,Overnight,SKYL,FALSE,-116.794635,34.159102,5/2/2014,3/23/2020
30160,232101,4,RV NONELECTRIC,Overnight,LAKE,FALSE,-105.056128,37.983143,5/2/2014,3/23/2020
44064,232102,GRP A,GROUP STANDARD NONELECTRIC,Overnight,SPRI,FALSE,-111.716963,41.751227,5/2/2014,4/8/2020
20763,232103,48,RV NONELECTRIC,Overnight,UPPR,FALSE,-111.633492,40.639729,5/2/2014,4/22/2020
9340,232104,1,STANDARD NONELECTRIC,Overnight,STAT,FALSE,-110.385104,40.98206,5/2/2014,4/10/2020
48138,232105,18,STANDARD NONELECTRIC,Overnight,SING,FALSE,-110.835356,40.867958,5/2/2014,6/10/2020
44011,232106,G3,GROUP PICNIC AREA,Day,Group Site,TRUE,0,0,5/2/2014,12/12/2019
70007,232107,17,TENT ONLY NONELECTRIC,Overnight,STUM,FALSE,-120.593647,38.903696,5/2/2014,3/23/2020
17532,232108,23,STANDARD NONELECTRIC,Overnight,SUNR,FALSE,-111.461124,41.920246,5/2/2014,4/10/2020
19772,232109,AMPHAF,GROUP WALK TO,Day,Amphitheater,TRUE,-111.698352,40.572162,5/2/2014,3/23/2020
20246,232110,2,STANDARD NONELECTRIC,Overnight,TE-A,FALSE,-112.818256,37.533019,5/2/2014,3/23/2020
40118,232111,1,GROUP TENT ONLY AREA NONELECTRIC,Overnight,FAMI,FALSE,-115.369105,40.632128,5/2/2014,8/19/2020
27016,232112,32,STANDARD NONELECTRIC,Overnight,C,FALSE,-115.404948,40.649538,5/2/2014,3/23/2020
77006,232113,3,STANDARD NONELECTRIC,Overnight,TINK,FALSE,-121.566843,47.401813,5/2/2014,3/23/2020
20488,232114,1,RV ELECTRIC,Overnight,CATB,FALSE,-86.636988,38.135747,5/2/2014,3/23/2020
17559,232115,15,STANDARD NONELECTRIC,Overnight,SING,FALSE,-111.637191,41.889191,5/2/2014,4/29/2020
53724,232116,1,GROUP STANDARD NONELECTRIC,Overnight,TRAP,FALSE,-115.095957,44.319229,5/2/2014,8/19/2020
37023,232117,27,STANDARD NONELECTRIC,Overnight,TRUM,FALSE,0,0,5/2/2014,2/2/2020
78013,232118,5,STANDARD NONELECTRIC,Overnight,TURL,TRUE,-121.78829,48.095502,5/2/2014,3/23/2020
38048,232119,10,STANDARD NONELECTRIC,Overnight,LOWE,FALSE,-119.330017,38.172685,5/2/2014,8/19/2020
80018,232120,10,MANAGEMENT,Overnight,AREA VERLOT,FALSE,-121.766938,48.086711,5/2/2014,7/23/2020
86427,232121,1,GROUP STANDARD NONELECTRIC,Overnight,WENC,FALSE,-120.375505,38.888647,5/2/2014,3/23/2020
68026,232122,22,STANDARD NONELECTRIC,Overnight,WHIT,FALSE,-112.586341,37.747127,5/2/2014,3/23/2020
70004,232123,XXX12,MANAGEMENT,Overnight,AREA WHITNEY PORTAL,FALSE,0,0,5/2/2014,1/23/2019
56628,232124,GROUP  NONELECTRIC,GROUP STANDARD AREA NONELECTRIC,Overnight,WOOD,FALSE,-114.458889,43.793056,5/2/2014,6/3/2019
70039,232125,1,TENT ONLY NONELECTRIC,Overnight,YELL,FALSE,-120.388165,38.890475,5/2/2014,8/19/2020
26009,232126,11,GROUP STANDARD NONELECTRIC,Overnight,DGRP,FALSE,-78.879189,41.944252,5/2/2014,3/23/2020
72009,232127,54,STANDARD ELECTRIC,Overnight,HEML,FALSE,-78.915535,41.988966,5/2/2014,3/23/2020
25060,232128,10,STANDARD ELECTRIC,Overnight,TWIN,FALSE,-78.763892,41.611715,5/2/2014,8/19/2020
20288,232129,3,STANDARD NONELECTRIC,Overnight,LAKE,FALSE,-107.215929,44.178149,5/2/2014,8/19/2020
74031,232130,14,STANDARD NONELECTRIC,Overnight,A,FALSE,-107.213232,44.192738,5/2/2014,3/23/2020
37046,232131,6,STANDARD NONELECTRIC,Overnight,WEST,FALSE,-107.215672,44.258057,5/2/2014,8/19/2020
73166,232132,1,GROUP STANDARD NONELECTRIC,Overnight,WILL,FALSE,-107.237527,44.182245,5/2/2014,8/19/2020
12476,232133,6,STANDARD NONELECTRIC,Overnight,JEAN,FALSE,-92.29656,48.132132,5/2/2014,3/23/2020
68468,232134,6,STANDARD NONELECTRIC,Overnight,PFEI,FALSE,-92.474901,47.752136,5/2/2014,3/23/2020
61001,232137,23,STANDARD NONELECTRIC,Overnight,FREN,FALSE,-120.187157,39.901243,5/2/2014,8/19/2020
67013,232138,XXX16,MANAGEMENT,Overnight,AREA WHEELER GORGE,FALSE,0,0,5/2/2014,1/23/2019
