City,Wiki_String,img_url
Atlanta ,Atlanta,//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Metro_atlanta.jpg/250px-Metro_atlanta.jpg
Augusta ,"Augusta,_Georgia",//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Augusta_Georgia_Broad_Street_Lamar_Building.jpg/266px-Augusta_Georgia_Broad_Street_Lamar_Building.jpg
Savannah ,"Savannah,_Georgia",//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/SavannahRooftopViewNW20140422.jpg/280px-SavannahRooftopViewNW20140422.jpg
Honolulu ,Honolulu,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Pacific_Ocean_laea_relief_location_map.jpg/250px-Pacific_Ocean_laea_relief_location_map.jpg
Boise,"Boise,_Idaho",//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Boise_US_Bank_Building.jpg/139px-Boise_US_Bank_Building.jpg
Sun Valley,"Sun_Valley,_Idaho",//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Baldmountainid.jpg/250px-Baldmountainid.jpg
Chicago ,Chicago,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Chicago_montage1.jpg/300px-Chicago_montage1.jpg
Indianapolis ,Indianapolis,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Downtown_Indianapolis.jpg/288px-Downtown_Indianapolis.jpg
Fort Wayne ,"Fort_Wayne,_Indiana",//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Downtown_Fort_Wayne%2C_Indiana_Skyline_from_Old_Fort%2C_May_2014.jpg/266px-Downtown_Fort_Wayne%2C_Indiana_Skyline_from_Old_Fort%2C_May_2014.jpg
Des Moines ,"Des_Moines,_Iowa",//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Des_Moines_Montage.jpg/250px-Des_Moines_Montage.jpg
Cedar Rapids ,"Cedar_Rapids,_Iowa",//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Cedar_Rapids%2C_Iowa_montage.jpg/250px-Cedar_Rapids%2C_Iowa_montage.jpg
Davenport ,"Davenport,_Iowa",//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Davenport%2C_Iowa_Montage.jpg/250px-Davenport%2C_Iowa_Montage.jpg
Wichita ,"Wichita,_Kansas",//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Wichita-ks.jpg/310px-Wichita-ks.jpg
Overland Park ,"Overland_Park,_Kansas",//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Sprint-hq2.jpg/220px-Sprint-hq2.jpg
Kansas City ,"Kansas_City,_Kansas",//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Municipal_Office_Building%2C_Kansas_City%2C_Kansas_%2844651665835%29.jpg/220px-Municipal_Office_Building%2C_Kansas_City%2C_Kansas_%2844651665835%29.jpg
Louisville ,"Louisville,_Kentucky",//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Louisville_montage.jpg/250px-Louisville_montage.jpg
Lexington ,"Lexington,_Kentucky",//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Lexington_montage.jpg/280px-Lexington_montage.jpg
New Orleans ,New_Orleans,//upload.wikimedia.org/wikipedia/commons/thumb/9/94/New_Orleans_Skyline.jpg/370px-New_Orleans_Skyline.jpg
Baton Rouge ,"Baton_Rouge,_Louisiana",//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Pierre_Le_Moyne_Iberville.jpg/154px-Pierre_Le_Moyne_Iberville.jpg
Portland ,"Portland,_Maine",//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Portland%2C_Maine_Montage.jpg/300px-Portland%2C_Maine_Montage.jpg
Baltimore ,Baltimore,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ft._Henry_bombardement_1814.jpg/170px-Ft._Henry_bombardement_1814.jpg
Boston ,Boston,//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Boston_-_panoramio_%2823%29.jpg/280px-Boston_-_panoramio_%2823%29.jpg
Plymouth,"Plymouth,_Massachusetts",//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Plymouth%2C_Massachusetts.jpg/100px-Flag_of_Plymouth%2C_Massachusetts.jpg
Detroit ,Detroit,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Detroit_montage_2020.jpg/300px-Detroit_montage_2020.jpg
Grand Rapids ,"Grand_Rapids,_Michigan",//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Grand_Rapids_montage.jpg/290px-Grand_Rapids_montage.jpg
